id,trans
filename,scene_evt210316_cp0_q4_s10
info,scene_evt210316_cp0_q4_s10
26,end of transmission.
20,我啊，早就在很久之前\n死掉了呢。
16,马克斯韦尔的话——
15,是马克斯韦尔？\n原来不是这个女人，\n格蕾丝呢。
14,offender's name is maxwell. capture\nthe individual alive and report via this\nchannel.
13,呵呵……\n机关找到的背叛者是谁呢？
12,a previously suspected betrayer of\ncentral axis has been implicated. bring\nthis individual in for sentencing.
11,啊啦啊啦。失败了呢。\n真是遗憾呢，机关的各位。\n都花了几万年了。
10,the central axis invasion of the\n sky has failed. await future plans.
9,attention
0-synopsis,监听到从月球机关发来的通信。通信对象为于化石世界生活的月之民后裔。发信人为机关中枢。内容为机关进攻空之世界的计划失败，等待规划下一次计划。并且特定到了从前就被暗示存在于机关的内奸「马克斯韦尔」。机关为定下马克斯韦尔的待遇，寻求活捉其之后的回信。
0-chapter_name,Incoming Dispatch
